episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
11,train,spsa,3,V3,61.35559069992316,36.401645934543716,2,198020.0,251735.76888755185,443707.65625,True,3,0
12,train,spsa,1,V1,32.64190850831976,68.50625120952657,3,124030.0,331823.49837418535,464588.90625,True,3,0
12,train,spsa,2,V2,68.18179943160989,58.91264659933235,4,285950.0,359341.2951947322,575610.78125,True,3,0
12,train,spsa,3,V3,68.74794409062844,49.960422585893895,3,290990.0,359341.2951947322,453660.78125,True,3,0
13,train,spsa,1,V1,70.04864010585024,54.067013503465084,2,150930.0,278414.48796416237,498924.0625,True,2,2
13,train,spsa,2,V2,43.96872929951823,55.839810033144545,3,186940.0,271550.9801437093,525844.21875,True,2,2
13,train,spsa,3,V3,70.86072256877364,43.28028407099205,1,92970.0,275786.53239527805,453660.78125,True,3,0
14,train,spsa,1,V1,48.839034971937906,48.778322997457416,2,150930.0,301448.7964471675,498924.0625,True,2,2
14,train,spsa,2,V2,35.08505759617478,71.4739399760333,3,186940.0,294017.44405236107,476339.21875,True,2,2
14,train,spsa,3,V3,38.978929826238,43.375712198600695,1,92970.0,294017.44405236107,400874.21875,True,2,2
15,train,spsa,1,V1,30.99789488883751,62.35583092428374,2,150930.0,178600.50000739025,498924.0625,True,2,2
15,train,spsa,2,V2,53.325752512597255,61.33910377733742,3,186940.0,178540.84036986847,535797.34375,True,2,2
15,train,spsa,3,V3,53.56043767239224,61.16134668002238,3,290990.0,172571.46749554484,443707.65625,True,3,0
16,train,spsa,1,V1,36.53249799118323,79.45130145058917,2,150930.0,263142.7932013673,498924.0625,True,2,2
16,train,spsa,2,V2,53.25014698343844,39.07205740278472,3,186940.0,263054.89309101924,535797.34375,True,2,2
16,train,spsa,3,V3,33.09893365345929,56.803639430263985,3,290990.0,256655.7650576813,400874.21875,True,2,2
17,train,spsa,1,V1,52.22441366163509,52.64170637825147,2,150930.0,276345.42689230194,498924.0625,True,2,2
17,train,spsa,2,V2,36.136474206784726,49.568291689438865,3,186940.0,269532.92581704934,476339.21875,True,2,2
17,train,spsa,3,V3,53.40380733652576,39.926743522269525,3,290990.0,267016.8104373393,443707.65625,True,3,0
18,train,spsa,1,V1,55.35558456569519,62.50121812136945,2,150930.0,340352.27119793085,498924.0625,True,2,2
18,train,spsa,2,V2,46.30814523066698,47.86446018629645,3,186940.0,331961.8656117939,525844.21875,True,2,2
18,train,spsa,3,V3,66.38134668721264,55.86505541921462,3,290990.0,337139.6846223639,453660.78125,True,3,0
19,train,spsa,1,V1,68.87577650317215,50.528423426700535,2,150930.0,282355.12753185956,498924.0625,True,2,2
19,train,spsa,2,V2,42.213210255564945,62.95838655219774,4,285950.0,275394.4745854892,525844.21875,True,2,2
19,train,spsa,3,V3,59.99203598969387,62.538550699336824,3,290990.0,272823.6410931015,443707.65625,True,3,0
20,train,spsa,1,V1,46.514288468044086,57.70095434197287,2,150930.0,207656.46148544966,498924.0625,True,2,2
20,train,spsa,2,V2,56.904346835753884,58.52627203917172,4,285950.0,207587.09600651334,535797.34375,True,2,2
20,train,spsa,3,V3,25.464134808409106,38.94728752867432,1,92970.0,202537.28913994852,400874.21875,True,2,2
21,train,spsa,1,V1,54.906558119998735,50.083443850345155,2,150930.0,255500.97719201387,498924.0625,True,2,2
21,train,spsa,2,V2,31.082166852626276,69.01186275033896,4,285950.0,249202.3360260537,476339.21875,True,2,2
21,train,spsa,3,V3,62.19036890103189,69.38705482359231,3,290990.0,246876.00862677922,443707.65625,True,3,0
22,train,spsa,1,V1,30.874363173765104,32.395852426621474,2,150930.0,347842.22484715714,498924.0625,True,2,2
22,train,spsa,2,V2,26.788534644727427,44.28298673138256,4,285950.0,339267.176012667,476339.21875,True,2,2
22,train,spsa,3,V3,49.31382431336505,35.0253330711014,0,0.0,336100.08480550343,443707.65625,True,3,0
23,train,spsa,1,V1,36.836823752759386,53.95041843999827,2,150930.0,329672.49628593,498924.0625,True,2,2
23,train,spsa,2,V2,66.19642376070404,43.53167917832559,4,285950.0,326560.71615244023,575610.78125,True,3,0
23,train,spsa,3,V3,44.8692021239898,47.96930919102198,3,290990.0,318543.7133413869,443707.65625,True,3,0
24,train,spsa,1,V1,45.38778367878412,55.78598706115037,2,150930.0,260064.45949324573,498924.0625,True,2,2
24,train,spsa,2,V2,43.394388891507056,54.82962110662537,3,186940.0,253653.31880654572,525844.21875,True,2,2
24,train,spsa,3,V3,51.45862875708389,51.143700184768385,3,290990.0,251285.44106163213,443707.65625,True,3,0
25,train,spsa,1,V1,39.28781882758828,67.28420812280152,2,150930.0,210801.72983302196,498924.0625,True,2,2
25,train,spsa,2,V2,44.632794637943235,31.746286251257132,3,186940.0,205605.01994966195,525844.21875,True,2,2
25,train,spsa,3,V3,29.991967166617933,74.22946194066577,3,290990.0,205605.01994966195,400874.21875,True,2,2
