episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
24,train,additive,2,V2,51.87356956911898,42.31986083156003,3,3000.0,294095.1552393654,595068.90625,True,3,0
24,train,additive,3,V3,34.19897407017164,52.391001769991504,3,290990.0,310665.45227604674,443707.65625,True,3,0
25,train,additive,1,V1,43.29552244955122,48.651868360285434,2,150930.0,203063.9570872599,498924.0625,True,2,2
25,train,additive,2,V2,49.67909174446936,38.790864816918486,3,3000.0,185743.6934394632,595068.90625,True,3,0
25,train,additive,3,V3,38.2010987105331,68.5812109586726,3,290990.0,201147.2355086909,453660.78125,True,3,0
26,train,additive,1,V1,61.58462746097014,42.801242551584785,2,150930.0,300048.6563160426,498924.0625,True,2,2
26,train,additive,2,V2,20.0,49.93397304028797,3,186940.0,292651.82034604566,525844.21875,True,2,2
26,train,additive,3,V3,67.08542757499228,54.10679597299266,1,1000.0,274456.1193188058,522123.90625,True,3,0
27,train,additive,1,V1,41.582263941377306,59.102120156795515,2,150930.0,242252.741986742,498924.0625,True,2,2
27,train,additive,2,V2,29.12966099997071,56.26596710277693,3,186940.0,249746.11976431962,548594.21875,True,2,2
27,train,additive,3,V3,31.416611623636406,64.14624053986847,3,290990.0,234074.99524212856,443707.65625,True,3,0
28,train,additive,1,V1,55.545555523323635,43.237996833565674,2,150930.0,210463.540429491,498924.0625,True,2,2
28,train,additive,2,V2,68.51932744814485,63.09194731853172,3,3000.0,192512.1321107756,595068.90625,True,3,0
28,train,additive,3,V3,75.21173044679105,54.60293717653022,1,1000.0,192512.1321107756,522123.90625,True,3,0
29,train,additive,1,V1,22.707727348627166,61.73794393667758,3,124030.0,290165.2707585638,464588.90625,True,3,0
29,train,additive,2,V2,57.23083449644554,34.62271492265282,3,3000.0,290165.2707585638,595068.90625,True,3,0
29,train,additive,3,V3,62.66074399461111,56.572328434361935,1,1000.0,290165.2707585638,522123.90625,True,3,0
30,train,additive,1,V1,51.2008340157197,65.24512675426689,2,150930.0,176657.6337112567,498924.0625,True,2,2
30,train,additive,2,V2,35.23728324678339,47.195665453555485,4,285950.0,170694.18670485538,565657.65625,True,3,0
30,train,additive,3,V3,50.39562021493818,37.80838866123953,3,199020.0,161589.68745844119,522123.90625,True,3,0
